mandante,visitante,golsMandante,golsVisitante,estadio,publico,precoMedio
Flamengo,Palmeiras,2,1,Maracana,50000,120.50
Corinthians,Santos,0,0,NeoQuimica,42000,95.00
Gremio,Internacional,1,3,ArenaGremio,38000,80.00
SaoPaulo,Fluminense,2,2,Morumbi,45000,110.00
AtleticoMG,Cruzeiro,3,0,Mineirao,47000,100.00
Botafogo,Vasco,1,1,NiltonSantos,30000,70.00
Bahia,Sport,2,0,ArenaFonteNova,32000,60.00
Fortaleza,Ceara,0,1,Castelao,35000,55.00
AthleticoPR,Coritiba,3,2,ArenaBaixada,28000,90.00
Goias,Cuiaba,1,0,Serrinha,15000,45.00
Palmeiras,Corinthians,1,2,AllianzParque,41000,130.00
Santos,Flamengo,0,3,VilaBelmiro,21000,75.00
Internacional,SaoPaulo,2,1,BeiraRio,39000,95.00
Fluminense,Gremio,1,1,Maracana,36000,105.00
Cruzeiro,Botafogo,0,2,Mineirao,34000,85.00
Vasco,AtleticoMG,1,4,SaoJanuario,25000,65.00
Sport,Bahia,2,2,IlhaDoRetiro,18000,50.00
Ceara,Fortaleza,3,1,Castelao,33000,60.00
Coritiba,AthleticoPR,0,0,CoutoPereira,22000,70.00
Cuiaba,Goias,2,1,ArenaPantanal,14000,40.00
Flamengo,SaoPaulo,3,3,Maracana,52000,125.00
Palmeiras,Santos,2,0,AllianzParque,39000,120.00
Corinthians,Gremio,1,1,NeoQuimica,41000,100.00
Internacional,Fluminense,0,1,BeiraRio,37000,90.00
AtleticoMG,Vasco,2,0,Mineirao,46000,110.00
Botafogo,Cruzeiro,1,0,NiltonSantos,31000,75.00
Bahia,Ceara,2,1,ArenaFonteNova,29000,65.00
Fortaleza,Sport,1,0,Castelao,34000,58.00
AthleticoPR,Goias,2,2,ArenaBaixada,26000,85.00
Coritiba,Cuiaba,1,3,CoutoPereira,20000,50.00
